class;Subclass;order;family;genus;species;common_name;litter_or_clutch_size_n;adult_body_mass_g;weaning_weight_g;female_body_mass_g;Order;Family;Name
Mammalia;Eutheria;Cetartiodactyla;Bovidae;Capra;sibirica;Siberian Ibex;1.18;82500;15691.695;35000;CETARTIODACTYLA;BOVIDAE;Capra_sibirica_BOVIDAE_CETARTIODACTYLA
Mammalia;Eutheria;Cetartiodactyla;Bovidae;Taurotragus;derbianus;Derby Eland;1;562592.69;96495.55;392500;CETARTIODACTYLA;BOVIDAE;Taurotragus_derbianus_BOVIDAE_CETARTIODACTYLA
Mammalia;Eutheria;Carnivora;Mephitidae;Spilogale;gracilis;Western Spotted Skunk;5.07;612;160;354.5;CARNIVORA;MEPHITIDAE;Spilogale_gracilis_MEPHITIDAE_CARNIVORA
Mammalia;Eutheria;Carnivora;Mustelidae;Martes;zibellina;Sable;3.13;1066.7;600;1125;CARNIVORA;MUSTELIDAE;Martes_zibellina_MUSTELIDAE_CARNIVORA
Mammalia;Eutheria;Carnivora;Mustelidae;Aonyx;capensis;African Clawless Otter;2.56;21411.11;3360;12300;CARNIVORA;MUSTELIDAE;Aonyx_capensis_MUSTELIDAE_CARNIVORA
Mammalia;Eutheria;Carnivora;Canidae;Canis;lupus;Wolf;4.98;29190.755;5250;21001.217;CARNIVORA;CANIDAE;Canis_lupus_CANIDAE_CARNIVORA
Mammalia;Eutheria;Carnivora;Mustelidae;Enhydra;lutris;Sea Otter;1;943.25;12540.745;21500;CARNIVORA;MUSTELIDAE;Enhydra_lutris_MUSTELIDAE_CARNIVORA
Mammalia;Eutheria;Carnivora;Ursidae;Ursus;americanus;American Black Bear;2.465;132405;14050;54050;CARNIVORA;URSIDAE;Ursus_americanus_URSIDAE_CARNIVORA
Mammalia;Eutheria;Carnivora;Otariidae;Arctocephalus;townsendi;Guadalupe Fur Seal;1;101063.71;18583.3;50000;CARNIVORA;OTARIIDAE;Arctocephalus_townsendi_OTARIIDAE_CARNIVORA
Mammalia;Eutheria;Carnivora;Otariidae;Zalophus;wollebaeki;Galapagos Sea Lion;1;158597.43;25000;95500;CARNIVORA;OTARIIDAE;Zalophus_wollebaeki_OTARIIDAE_CARNIVORA
Mammalia;Eutheria;Carnivora;Otariidae;Zalophus;californianus;California Sealion;1.1;158597.43;25000;110000;CARNIVORA;OTARIIDAE;Zalophus_californianus_OTARIIDAE_CARNIVORA
Mammalia;Eutheria;Carnivora;Otariidae;Zalophus;japonicus;Japanese Sealion;1.1;158597.43;25000;110000;CARNIVORA;OTARIIDAE;Zalophus_japonicus_OTARIIDAE_CARNIVORA
Mammalia;Eutheria;Carnivora;Otariidae;Neophoca;cinerea;Australian Sealion;1;189274.99;59724;77100;CARNIVORA;OTARIIDAE;Neophoca_cinerea_OTARIIDAE_CARNIVORA
Mammalia;Eutheria;Carnivora;Otariidae;Eumetopias;jubatus;Steller Sea Lion;1;382466.74;106610;273000;CARNIVORA;OTARIIDAE;Eumetopias_jubatus_OTARIIDAE_CARNIVORA
Mammalia;Eutheria;Cetartiodactyla;Iniidae;Inia;geoffrensis;Amazon River Dolphin;1;98500;11119.2;100000;CETARTIODACTYLA;INIIDAE;Inia_geoffrensis_INIIDAE_CETARTIODACTYLA
Mammalia;Eutheria;Chiroptera;Vespertilionidae;Tylonycteris;pachypus;Lesser Bamboo Bat;1.92;4.1;2.93;3.5;CHIROPTERA;VESPERTILIONIDAE;Tylonycteris_pachypus_VESPERTILIONIDAE_CHIROPTERA
Mammalia;Eutheria;Chiroptera;Natalidae;Natalus;jamaicensis;Jamaican Greater Funnel-eared Bat;1;4.7;4.14;5.3;CHIROPTERA;NATALIDAE;Natalus_jamaicensis_NATALIDAE_CHIROPTERA
Mammalia;Eutheria;Chiroptera;Natalidae;Natalus;major;Hispaniolan Greater Funnel-eared Bat;1;4.7;4.14;5.3;CHIROPTERA;NATALIDAE;Natalus_major_NATALIDAE_CHIROPTERA
Mammalia;Eutheria;Chiroptera;Natalidae;Natalus;primus;Cuban Greater Funnel-eared Bat;1;4.7;4.14;5.3;CHIROPTERA;NATALIDAE;Natalus_primus_NATALIDAE_CHIROPTERA
Mammalia;Eutheria;Chiroptera;Natalidae;Natalus;stramineus;Mexican Greater Funnel-eared Bat;1;4.7;4.14;5.3;CHIROPTERA;NATALIDAE;Natalus_stramineus_NATALIDAE_CHIROPTERA
Mammalia;Eutheria;Chiroptera;Emballonuridae;Peropteryx;kappleri;Greater Dog-like Bat;1;9.85;6.74;8.5;CHIROPTERA;EMBALLONURIDAE;Peropteryx_kappleri_EMBALLONURIDAE_CHIROPTERA
Mammalia;Eutheria;Chiroptera;Phyllostomidae;Anoura;geoffroyi;Geoffroy's Tailless Bat;1;15.2;8.24;14.7;CHIROPTERA;PHYLLOSTOMIDAE;Anoura_geoffroyi_PHYLLOSTOMIDAE_CHIROPTERA
