Kingdom;Phylum;Class;Subclass;Order;Family;Genus;Species;Common name; Gestation_days ;Lactation_days;Litter/Clutch size;Weaning_mass_g;Adult_mass_g;OrderC;FamilyC;Name;Female_adult_mass_g;Male_adult_mass_g;Maximum_longevity_y
Animalia;Chordata;Mammalia;Eutheria;Afrosoricida;Chrysochloridae;Amblysomus;corriae;Fynbos golden mole; ; ;1.93; ;64.8;AFROSORICIDA;CHRYSOCHLORIDAE;Amblysomus_corriae_CHRYSOCHLORIDAE_AFROSORICIDA; ; ;1
Animalia;Chordata;Mammalia;Eutheria;Afrosoricida;Chrysochloridae;Amblysomus;hottentotus;Hottentot golden mole; ; ;1.93; ;64.8;AFROSORICIDA;CHRYSOCHLORIDAE;Amblysomus_hottentotus_CHRYSOCHLORIDAE_AFROSORICIDA; ; ;1
Animalia;Chordata;Mammalia;Eutheria;Afrosoricida;Chrysochloridae;Amblysomus;marleyi;Marley's golden mole; ; ;1.93; ;64.8;AFROSORICIDA;CHRYSOCHLORIDAE;Amblysomus_marleyi_CHRYSOCHLORIDAE_AFROSORICIDA; ; ;1
Animalia;Chordata;Mammalia;Eutheria;Afrosoricida;Chrysochloridae;Amblysomus;robustus;Robust golden mole; ; ;1.93; ;64.8;AFROSORICIDA;CHRYSOCHLORIDAE;Amblysomus_robustus_CHRYSOCHLORIDAE_AFROSORICIDA; ; ;1
Animalia;Chordata;Mammalia;Eutheria;Afrosoricida;Chrysochloridae;Amblysomus;septentrionalis;Highveld golden mole; ; ;1.93; ;64.8;AFROSORICIDA;CHRYSOCHLORIDAE;Amblysomus_septentrionalis_CHRYSOCHLORIDAE_AFROSORICIDA; ; ;1
Animalia;Chordata;Mammalia;Eutheria;Afrosoricida;Chrysochloridae;Calcochloris;obtusirostris;Yellow golden mole; ; ;2; ;24.05;AFROSORICIDA;CHRYSOCHLORIDAE;Calcochloris_obtusirostris_CHRYSOCHLORIDAE_AFROSORICIDA; ; ;
Animalia;Chordata;Mammalia;Eutheria;Afrosoricida;Chrysochloridae;Carpitalpa;arendsi;Arend's golden mole; ; ; ; ;52.34;AFROSORICIDA;CHRYSOCHLORIDAE;Carpitalpa_arendsi_CHRYSOCHLORIDAE_AFROSORICIDA; ; ;
Animalia;Chordata;Mammalia;Eutheria;Afrosoricida;Chrysochloridae;Chlorotalpa;duthieae;Duthie's golden mole; ; ;2; ;31.34;AFROSORICIDA;CHRYSOCHLORIDAE;Chlorotalpa_duthieae_CHRYSOCHLORIDAE_AFROSORICIDA; ; ;
Animalia;Chordata;Mammalia;Eutheria;Afrosoricida;Chrysochloridae;Chlorotalpa;sclateri;Sclater's golden mole; ; ;2; ;38.3;AFROSORICIDA;CHRYSOCHLORIDAE;Chlorotalpa_sclateri_CHRYSOCHLORIDAE_AFROSORICIDA; ; ;
Animalia;Chordata;Mammalia;Eutheria;Afrosoricida;Chrysochloridae;Chrysochloris;asiatica;Cape golden mole; ;75.26;3.12; ;36.93;AFROSORICIDA;CHRYSOCHLORIDAE;Chrysochloris_asiatica_CHRYSOCHLORIDAE_AFROSORICIDA; ; ;2.408333333
Animalia;Chordata;Mammalia;Eutheria;Afrosoricida;Chrysochloridae;Chrysochloris;stuhlmanni;Stuhlmann's golden mole; ;73.405;0.96; ;47.78;AFROSORICIDA;CHRYSOCHLORIDAE;Chrysochloris_stuhlmanni_CHRYSOCHLORIDAE_AFROSORICIDA; ; ;
Animalia;Chordata;Mammalia;Eutheria;Afrosoricida;Chrysochloridae;Chrysochloris;visagiei;Visagie's golden mole; ;75.26;3.12; ;36.72;AFROSORICIDA;CHRYSOCHLORIDAE;Chrysochloris_visagiei_CHRYSOCHLORIDAE_AFROSORICIDA; ; ;2.408333333
Animalia;Chordata;Mammalia;Eutheria;Afrosoricida;Chrysochloridae;Chrysospalax;trevelyani;Giant golden mole;115; ;1.41; ;434.04;AFROSORICIDA;CHRYSOCHLORIDAE;Chrysospalax_trevelyani_CHRYSOCHLORIDAE_AFROSORICIDA; ; ;4
Animalia;Chordata;Mammalia;Eutheria;Afrosoricida;Chrysochloridae;Chrysospalax;villosus;Rough-haired golden mole; ; ;1.965; ;106.175;AFROSORICIDA;CHRYSOCHLORIDAE;Chrysospalax_villosus_CHRYSOCHLORIDAE_AFROSORICIDA; ; ;
Animalia;Chordata;Mammalia;Eutheria;Afrosoricida;Chrysochloridae;Cryptochloris;wintoni;De winton's golden mole; ; ; ; ;22.88;AFROSORICIDA;CHRYSOCHLORIDAE;Cryptochloris_wintoni_CHRYSOCHLORIDAE_AFROSORICIDA; ; ;
Animalia;Chordata;Mammalia;Eutheria;Afrosoricida;Chrysochloridae;Cryptochloris;zyli;Van zyl's golden mole; ; ; ; ;21.095;AFROSORICIDA;CHRYSOCHLORIDAE;Cryptochloris_zyli_CHRYSOCHLORIDAE_AFROSORICIDA; ; ;
Animalia;Chordata;Mammalia;Eutheria;Afrosoricida;Chrysochloridae;Eremitalpa;granti;Grant's golden mole; ; ;1.18; ;22.8;AFROSORICIDA;CHRYSOCHLORIDAE;Eremitalpa_granti_CHRYSOCHLORIDAE_AFROSORICIDA; ; ;2
Animalia;Chordata;Mammalia;Eutheria;Afrosoricida;Chrysochloridae;Neamblysomus;gunningi;Gunning's golden mole; ; ; ; ;57.44;AFROSORICIDA;CHRYSOCHLORIDAE;Neamblysomus_gunningi_CHRYSOCHLORIDAE_AFROSORICIDA; ; ;
Animalia;Chordata;Mammalia;Eutheria;Afrosoricida;Chrysochloridae;Neamblysomus;julianae;Juliana's golden mole; ; ;0.96; ;21.99;AFROSORICIDA;CHRYSOCHLORIDAE;Neamblysomus_julianae_CHRYSOCHLORIDAE_AFROSORICIDA; ; ;
Animalia;Chordata;Mammalia;Eutheria;Afrosoricida;Tenrecidae;Echinops;telfairi;Lesser hedgehog tenrec;57.8284;29;5.49;50;166.125;AFROSORICIDA;TENRECIDAE;Echinops_telfairi_TENRECIDAE_AFROSORICIDA; ; ;19
Animalia;Chordata;Mammalia;Eutheria;Afrosoricida;Tenrecidae;Geogale;aurita;Large-eared tenrec;60.16908;35.84378;3.65; ;6.7;AFROSORICIDA;TENRECIDAE;Geogale_aurita_TENRECIDAE_AFROSORICIDA; ; ;2.083333333
